,sha1sum,disk_read_avg,disk_read_std,disk_write_avg,disk_write_std,proc_avg,proc_std,mem_commit_avg,mem_commit_std,mem_available_avg,mem_available_std,mem_cache_avg,mem_cache_std
0,46ef567c548a46b24b04760ff7b0fde09f6e6220,2717147.01211065,7781575.35113702,197186.984411192,310976.396938701,190.497323185796,190.497323185796,414636676.74074,8266581.49904551,704812487.111111,6322718.73290613,21248986.074074,750958.026919092
1,cb7f9d296dc62f8b45ca7ca415847ecbaef133c7,147101.489375627,262957.90211165,131825.385719318,243747.994054592,185.573827485199,185.573827485199,407696487.339449,4704206.24192676,707291042.055045,4804860.53458173,20746728.5137614,553024.358922701
2,70c8bc42ac17e3b67fe8c425406a862583e92e7d,113436.324341103,181737.951752072,307465.195332896,340980.911047337,170.875527288971,170.875527288971,409941643.636363,7431589.45335842,705954350.545454,4353812.12164379,21971316.3636363,465748.470977682
3,399ec1e69c8a46de30947f181a047f6e8773e26a,2764504.67939805,6990113.16210754,232813.456266935,377174.948443355,192.707237013494,192.707237013494,408647772.252252,7902998.48473941,705728106.09009,6404499.12593603,21462338.8828828,913954.958097402
4,eccbb063f935a696eac6eebb1b312c1b8d25afe0,2036221.90564569,3198371.82360013,141010.798370646,243629.444495533,179.245869142784,179.245869142784,403335526.927835,5764351.96485629,708643681.649484,4152487.13053603,21267614.3505154,694184.509956946
5,80ee2ce330e4f0d552c405bc8ae6469643eeabd5,146427.726736521,59858.6656012777,549348.452881014,236449.803843585,146.233159930638,146.233159930638,401367040.0,4259487.21176515,710321298.285714,4026160.37565454,20502235.4285714,282330.064245408
6,c473ac554656879ad2c993583472bceeb53810e1,911643.008837303,1366801.28964639,116627.556956211,229787.908012496,179.416421651741,179.416421651741,402408277.333333,4746568.10008222,710420565.333333,3615483.95376896,20815829.3333333,599282.821061604
7,254d6cf2e1fc23ff6e6df63760274b96878577fe,2731187.63233243,6025530.00281572,155318.860585505,287599.992673102,188.671439076023,188.671439076023,410727564.917431,8798714.90487782,705463624.807339,6605182.35054853,21293488.1467889,1046574.53291244
8,08fe9a0d211adabedb72523646adaca5f9463fc9,15892.2327067373,15892.2327067373,414258.710264235,372406.808719265,100.0,100.0,397146112.0,1480704.0,714768384.0,1560576.0,20140032.0,0.0
9,3c561784834c5886f819c70282bd7f63d0ec2bae,64325.602930573,64325.602930573,1127041.44937232,61126.6586048969,66.6666666666666,66.6666666666666,399447381.333333,4653111.68667773,711755093.333333,5357689.43117567,20295680.0,41904.8359341337
