,sha1sum,disk_read_avg,disk_read_std,disk_write_avg,disk_write_std,proc_avg,proc_std,mem_commit_avg,mem_commit_std,mem_available_avg,mem_available_std,mem_cache_avg,mem_cache_std
0,46ef567c548a46b24b04760ff7b0fde09f6e6220,1624081.67496234,4121781.70692153,710161.881572388,1794348.89290982,92.0118431757965,92.0118431757965,401269901.241379,41014360.0044353,664662086.620689,39824010.8871196,32136827.5862068,1631029.77675293
1,cb7f9d296dc62f8b45ca7ca415847ecbaef133c7,x,x,x,x,x,x,x,x,x,x,x,x
2,70c8bc42ac17e3b67fe8c425406a862583e92e7d,x,x,x,x,x,x,x,x,x,x,x,x
3,399ec1e69c8a46de30947f181a047f6e8773e26a,1520986.67752195,2670964.47028855,613746.181380084,1685817.80003581,92.3209676047697,92.3209676047697,386781586.285714,27837292.0589823,680732013.714285,26903836.279606,31522377.1428571,2248684.17254557
4,eccbb063f935a696eac6eebb1b312c1b8d25afe0,1277620.0613809,5148505.91869069,690105.304421474,998627.47234717,93.7321928399827,93.7321928399827,432649162.105263,49370510.7185834,630447265.68421,48692284.3061264,32606854.7368421,1315364.32801357
5,80ee2ce330e4f0d552c405bc8ae6469643eeabd5,135996.43878211,130594.557567664,250484.405138994,280558.404893401,85.0446428571428,85.0446428571428,469482934.857142,2660802.01614021,592194998.857142,2452473.11980629,31999122.2857142,327641.336494524
6,c473ac554656879ad2c993583472bceeb53810e1,883462.659068405,2512032.70988818,707920.947455157,862117.597916139,95.2221973435865,95.2221973435865,414207000.975609,44963445.1632188,655053998.829268,43290617.1398609,31807787.707317,1531296.58901115
7,254d6cf2e1fc23ff6e6df63760274b96878577fe,626259.213618151,612423.884414527,1259008.60932709,901877.693876249,47.641019589332,47.641019589332,375553024.0,2276195.83809829,686388224.0,2714519.31899259,31736832.0,380910.10710665
8,08fe9a0d211adabedb72523646adaca5f9463fc9,x,x,x,x,x,x,x,x,x,x,x,x
9,3c561784834c5886f819c70282bd7f63d0ec2bae,,,,,42.1052631578947,42.1052631578947,468240384.0,3979264.0,591566848.0,3713024.0,32196608.0,432128.0
10,6c52b723eb4e8f4bbf9b6f471fbcdf89298f0346,x,x,x,x,x,x,x,x,x,x,x,x
11,b1b0b6cc9acc13431105e3fd200ccf8abb8241b8,1891510.83701482,1434944.36363091,2513309.91429756,2055117.84849291,76.5432764300688,76.5432764300688,415754649.6,52669571.0905509,645549260.8,55696894.4403209,32012697.6,646117.742224
12,97b90705272af3e9ed71c2e8f8fc7c5e30e3ee4f,1514031.27687244,2701596.46956553,603862.186805632,1728777.25639261,92.896590748246,92.896590748246,387921556.336448,26193723.1229279,679056584.971962,25030119.9043712,31646882.6915887,2051619.58015986
13,400c3fccf09d91a5fde4985d7b52b56581b7fadc,497841.916910008,1285445.8955817,538468.705262819,684055.833992254,91.9087765776637,91.9087765776637,428460657.178947,26778532.3789121,653102715.957894,19514517.1330018,30323507.2,2001516.88798272
14,a44e255e0bf5439137d28949b06d5bb2a1663fd9,1595479.98337597,3571044.23855109,781900.027164617,1908264.3250036,92.4963069878042,92.4963069878042,435779041.367521,33877330.5692204,632599823.316239,33446854.5658835,32198796.034188,1912133.08309596
15,f70df24cd5f9e93b141dd9f65602231e69c3548c,1557764.22447029,4018716.72677358,718183.68219995,1933287.58141443,93.077131393328,93.077131393328,394586424.406779,36222292.3292061,671807557.423728,36381466.1853962,31817936.2711864,1832078.15285715
16,dd0a7bbc21a538d4a1f4a2273587b62bb165d5b3,0.0,0.0,27626.7700914606,0.0,33.3333333333333,33.3333333333333,465776640.0,1299747.13628561,595207509.333333,1269391.45332486,31972010.6666666,68729.3123169114
17,ff4b187a5929458293fb5625f17f809825079e3d,1625710.70077881,5198260.85428796,831350.193675146,1957988.4703955,92.4676421768424,92.4676421768424,436583621.915966,34227227.7826965,631207849.949579,34250845.4465897,32545404.7731092,1502933.71889758
18,696026c951524c5c3922bd9e0569a26910343958,0.0,0.0,55503.9628666889,0.0,46.4223385689354,46.4223385689354,470803797.333333,1921966.4989528,590737408.0,1069994.58159874,31772672.0,6688.73999095993
19,e3f7a157cf0ee6b70375c92f0c83da03d708e8ef,55212.7924238774,0.0,232066.26815661,0.0,33.3333333333333,33.3333333333333,584104618.666666,82029732.2338614,593745237.333333,1033109.03884192,31970645.3333333,68891.8572321061
20,82535b93cd7916603bd81618448f2e9568e0e9fa,1575287.42650793,4669600.91951209,662365.677940957,1898113.79905145,93.023747086247,93.023747086247,410915406.101694,38975343.0329653,665191892.610169,38822321.6932267,32251938.7118644,1616600.80642037
21,39c5f00eb93e95a6523f856f11779f6213a37807,1605989.38167939,4422946.6022834,686299.971752873,1715932.84571295,91.5049853579069,91.5049853579069,397295896.068376,39387115.3892459,669130471.931623,39769401.6697202,32084458.1196581,1952670.42568647
22,6132a782d9f90a5aa762a5af746a96e317b6f92d,x,x,x,x,x,x,x,x,x,x,x,x
23,4fd1ef332ab0679c59f91d67aacd4aa28ae533e5,,,,,50.0,50.0,463935488.0,83968.0,592359424.0,696320.0,32303104.0,440320.0
24,ec889afddfc690027b3bd4b7fd28961722f6efc3,868991.430895082,2141446.48143371,699718.080482948,848774.469544312,94.968243574366,94.968243574366,462485531.306666,98393246.695588,628965922.133333,59180775.7375452,32780724.9066666,1295155.21266596
25,7c8af104af8b55754cb87a593a6a385eaed7d3e6,646290.334259915,1131718.76478333,1094614.92965711,1148622.87955692,88.4567327052338,88.4567327052338,471718446.545454,22654937.1729436,591395746.90909,22015147.2597369,31610507.6363636,445409.990059673
26,0699a9f77eb8cfe8531d378a4160154919e1247e,x,x,x,x,x,x,x,x,x,x,x,x
27,7dd47347bec05705da48ec47b4f2a1d46207bced,342875.686372034,523151.229584245,1102981.71079802,1014301.08646141,86.514037433155,86.514037433155,480195304.727272,7721137.2545495,584312645.818181,5254355.54702167,32325632.0,375087.567073464
28,7cc8f6fa6aa415d042548e938e4a25c6252e3e21,822851.627688501,2596016.51089371,535649.980566072,829910.781262473,94.6362851468786,94.6362851468786,403865133.367088,38271457.4771476,663502640.607595,35743496.9892649,32513788.7594936,1812499.27060909
29,76b8bc7a569a85372be7cde7b0c840620ab04d2d,4862706.60685531,15280712.4465386,4010447.83067506,15019746.0453419,91.2928119119877,91.2928119119877,604085638.981818,269791394.712342,558459252.363636,277314764.738453,21843111.5636363,7926305.44287584
30,a2a26b32e6d01ea80eb09e56460fd9ea76625e09,,,,,0.0,0.0,464840704.0,1280000.0,594059264.0,2150400.0,32485376.0,663552.0
31,47afc02a9db28cdf6d193a308e5830fb08254f72,x,x,x,x,,,,,,,,
32,ea2b22facafb52f55206673781f16e061a34acde,223274.994110991,413999.879995943,538007.417033224,625083.422816098,95.2267417942539,95.2267417942539,403087962.352941,32559117.1038806,671839232.0,28045579.9509876,30395873.8823529,3112936.77004627
33,51c6960e2f24c2d8aa613704218afe477eea2ce9,,,,,9.86842105263157,9.86842105263157,465901568.0,1419264.0,592121856.0,671744.0,31864832.0,18432.0
34,2c386a80c218d77f2b4f2456cdfc2985000a8ecf,1586331.80854211,4520952.11750146,705756.129900661,1889567.28093478,91.818631829321,91.818631829321,397684385.914529,39120201.7868254,668350236.444444,39261290.3998275,33101246.3589743,1855046.89872953
35,a3d978b98c4ab4151b40cb8ff0dd11f6b66e1280,352249.817120871,270344.175179903,1709163.91198711,11366.4790353341,60.9375,60.9375,467580245.333333,3153628.00610823,592541013.333333,2809215.71972882,31925589.3333333,65649.6791834422
36,3723f62536484b4d107f31a2b43f6f4f9d63ae2b,0.0,0.0,30193.7636404435,0.0,66.6666666666666,66.6666666666666,466341888.0,1646592.0,594446336.0,1550336.0,31946752.0,71680.0
37,cb1489baf62c09f56592a3d6dc2234000cef4bfd,0.0,0.0,29181.7556181089,0.0,33.3333333333333,33.3333333333333,467297621.333333,327429.593210849,591740928.0,1054877.06791644,32204117.3333333,476925.610538536
38,2f0bc8c6d7213c8d8ac0272668af495eab90c5b4,x,x,x,x,,,,,,,,
39,72fa0a3507639ead4d995b626c81053cc7afe5c8,x,x,x,x,x,x,x,x,x,x,x,x
40,af026571c921b493b12d3d46e880ba746a47e415,x,x,x,x,x,x,x,x,x,x,x,x
41,9f0ea77f3cf10257648f1b21507bd14a96bb592d,x,x,x,x,x,x,x,x,x,x,x,x
42,0265bc7456873fa47aea06e1ce0157db2f1964d1,,,,,0.0,0.0,464461824.0,155648.0,595181568.0,1368064.0,32307200.0,456704.0
43,e4d1777337726c4e440d645270c50903ec189b8b,813998.671714307,2103611.33486381,299300.978466983,725655.883882788,96.9615440720165,96.9615440720165,379407258.725274,22622218.957854,684834185.846153,22774101.0198297,32339315.3406593,1963265.56956016
