,sha1sum,disk_read_avg,disk_read_std,disk_write_avg,disk_write_std,proc_avg,proc_std,mem_commit_avg,mem_commit_std,mem_available_avg,mem_available_std,mem_cache_avg,mem_cache_std
0,46ef567c548a46b24b04760ff7b0fde09f6e6220,1445678.59042754,2040659.55482625,560334.949529098,886524.855011448,187.498726778038,187.498726778038,484740129.758241,63123566.1888863,1682304528.87912,61813195.0272728,26403131.076923,1455905.37873281
1,cb7f9d296dc62f8b45ca7ca415847ecbaef133c7,1305965.34323755,3176775.99155978,490955.463422565,694119.029857295,11.9592672645981,11.9592672645981,569170602.666666,5856865.61144872,1597690311.11111,5662671.71339223,23715384.8888888,246028.705777934
2,70c8bc42ac17e3b67fe8c425406a862583e92e7d,564657.84141349,1113728.19380911,611431.582044756,637142.477179435,168.750325700626,168.750325700626,577145059.555555,4394236.66578361,1589133767.11111,1924400.83315141,25142613.3333333,582154.181871282
3,399ec1e69c8a46de30947f181a047f6e8773e26a,1353901.21566249,3080775.57637746,484859.900060568,863800.636824191,190.629237737839,190.629237737839,479415476.705882,43341344.959692,1685724059.60784,43195679.9882583,26197333.3333333,1570423.00345875
4,eccbb063f935a696eac6eebb1b312c1b8d25afe0,492945.486870738,1101957.30332279,585906.026573866,466238.3439673,122.138525478633,122.138525478633,572546730.666666,6106351.51441105,1593125205.33333,6457005.3551826,23539712.0,229863.101843974
5,80ee2ce330e4f0d552c405bc8ae6469643eeabd5,514613.157328114,138138.64712953,529297.321865532,173633.13343048,146.776123126235,146.776123126235,579970048.0,1236796.59383748,1583112192.0,916680.773538967,22791168.0,59028.9594012972
6,c473ac554656879ad2c993583472bceeb53810e1,986721.805368834,1917546.91827872,458638.250175079,573036.169599459,144.223802266696,144.223802266696,479974327.595959,42481602.6961094,1686770656.96969,42153071.8732601,26032893.4141414,1380360.98021594
7,254d6cf2e1fc23ff6e6df63760274b96878577fe,425398.933077539,887800.925940403,590099.461202892,412831.491712863,147.51853473212,147.51853473212,576793363.692307,5960007.81923585,1589237917.53846,5884998.16609616,23197853.5384615,194287.784652884
8,08fe9a0d211adabedb72523646adaca5f9463fc9,,,,,0.0,0.0,559337472.0,0.0,1602764800.0,0.0,23846912.0,0.0
9,3c561784834c5886f819c70282bd7f63d0ec2bae,,,,,89.0625,89.0625,564158464.0,3305472.0,1602433024.0,3702784.0,23996416.0,399360.0
10,6c52b723eb4e8f4bbf9b6f471fbcdf89298f0346,1390743.30116055,3520184.10242318,485050.090517021,734027.616209441,191.380883903172,191.380883903172,482036805.592233,65735479.2765552,1681547940.03883,65672920.1018285,26119396.6601941,1571924.23013562
11,b1b0b6cc9acc13431105e3fd200ccf8abb8241b8,,,,,99.009900990099,99.009900990099,511909888.0,63713280.0,1654667264.0,64174080.0,23793664.0,483328.0
