,sha1sum,disk_read_avg,disk_read_std,disk_write_avg,disk_write_std,proc_avg,proc_std,mem_commit_avg,mem_commit_std,mem_available_avg,mem_available_std,mem_cache_avg,mem_cache_std
0,46ef567c548a46b24b04760ff7b0fde09f6e6220,1356487.90656598,2082133.3867679,769394.009935336,686261.011518957,186.413477607903,186.413477607903,519588645.393258,11798425.4620221,588920026.606741,10458747.1993914,26251264.0,965502.409739397
1,cb7f9d296dc62f8b45ca7ca415847ecbaef133c7,543362.02025468,407687.216946631,630494.402243665,508169.235648578,x,x,x,x,x,x,x,x
2,70c8bc42ac17e3b67fe8c425406a862583e92e7d,1106597.05953927,2070662.08088825,1027075.57855252,797680.860894077,170.487989955352,170.487989955352,504632524.8,9544172.21927245,596931788.8,6347207.39436241,27518566.4,649541.401857525
3,399ec1e69c8a46de30947f181a047f6e8773e26a,1335272.92390849,1932317.582342,743050.011926124,694618.634438399,186.853454290754,186.853454290754,512338682.046511,11131888.2027198,594990341.953488,9658419.22837681,26096520.9302325,946446.966292535
4,eccbb063f935a696eac6eebb1b312c1b8d25afe0,1451842.2825513,2167259.72837417,1236625.29117463,752101.906824708,113.114460351109,113.114460351109,494738636.8,2523740.8854158,603915468.8,2228653.92558274,26054656.0,275024.363674202
5,80ee2ce330e4f0d552c405bc8ae6469643eeabd5,386166.678064043,216035.566889626,730148.207110664,184290.428422155,147.683627698345,147.683627698345,494980096.0,1457126.81355604,602459136.0,1435536.61194133,26370048.0,293672.060039766
6,c473ac554656879ad2c993583472bceeb53810e1,1129791.3801258,1987370.08355156,758849.918861114,645883.424283957,181.035004779898,181.035004779898,514462586.434782,11279775.4200065,594935095.652173,9789798.95429412,26255805.2173913,846948.252827914
7,254d6cf2e1fc23ff6e6df63760274b96878577fe,920596.537146901,2371115.29576186,517919.281162689,524612.823578322,165.591572953568,165.591572953568,498074419.2,2480412.69681132,602578944.0,3028024.80370572,26337006.9333333,855950.279995862
8,08fe9a0d211adabedb72523646adaca5f9463fc9,,,,,98.4615384615384,98.4615384615384,489023488.0,43008.0,608851968.0,346112.0,26324992.0,4096.0
9,3c561784834c5886f819c70282bd7f63d0ec2bae,x,x,x,x,x,x,x,x,x,x,x,x
10,6c52b723eb4e8f4bbf9b6f471fbcdf89298f0346,1198326.03327399,3462639.82473037,732815.973676747,860887.69079662,190.247484283346,190.247484283346,509589913.6,10487185.9645148,596208284.294736,9823534.10057266,26530180.0421052,992202.356088821
11,b1b0b6cc9acc13431105e3fd200ccf8abb8241b8,,,,,97.0588235294117,97.0588235294117,495284224.0,2236416.0,602198016.0,778240.0,26740736.0,485376.0
12,97b90705272af3e9ed71c2e8f8fc7c5e30e3ee4f,1262700.34244969,2912345.33140709,789418.658949003,937624.91949374,190.08847004502,190.08847004502,519423141.16129,11408794.7643349,589597486.795698,10204200.3016609,26382159.8279569,812200.491795857
