,sha1sum,disk_read_avg,disk_read_std,disk_write_avg,disk_write_std,proc_avg,proc_std,mem_commit_avg,mem_commit_std,mem_available_avg,mem_available_std,mem_cache_avg,mem_cache_std
0,46ef567c548a46b24b04760ff7b0fde09f6e6220,1259172.99268892,3279125.53403716,407223.393524483,472176.013315005,190.639320835631,190.639320835631,443168072.077669,33019447.5533548,655567186.019417,31057054.9091921,24742265.7864077,1551665.60802898
1,cb7f9d296dc62f8b45ca7ca415847ecbaef133c7,1292668.75925296,2173300.22621183,563046.514657076,622192.785776873,11.5331050606338,11.5331050606338,500011520.0,3561872.06033681,586841600.0,2536509.33797453,22842368.0,175050.096966554
2,70c8bc42ac17e3b67fe8c425406a862583e92e7d,291062.11653407,380300.898666201,297204.165568585,293479.327518985,163.570277268627,163.570277268627,500391025.777777,7696755.84943927,589387093.333333,4559207.61764195,24716629.3333333,279850.038927994
3,399ec1e69c8a46de30947f181a047f6e8773e26a,1258539.6551765,2236117.11605369,476837.973112509,589291.804263547,190.869958804238,190.869958804238,415387982.367346,24783475.3240543,674761038.367346,23718863.9109961,24289990.5306122,1673937.55561912
4,eccbb063f935a696eac6eebb1b312c1b8d25afe0,1137990.50702564,1696747.18920585,613075.054437221,590057.494699518,185.201875239018,185.201875239018,415519778.516853,14266941.8757079,685557552.898876,10472926.1328223,22868750.3820224,2021309.39001512
5,80ee2ce330e4f0d552c405bc8ae6469643eeabd5,1334986.27323945,2189197.01719751,528111.264783569,596370.62503633,189.633732469191,189.633732469191,417121733.938144,24434609.9881328,673724690.474226,23638960.0908812,24527608.0824742,1732790.05782927
6,c473ac554656879ad2c993583472bceeb53810e1,619993.302847552,1237879.3838149,397366.093280062,419585.539576515,154.012415969873,154.012415969873,419529444.765957,29571392.6863848,672038650.553191,29772528.9775405,23546248.1702127,1564443.7671137
7,254d6cf2e1fc23ff6e6df63760274b96878577fe,1135150.39154789,1873173.94149506,627048.598282454,378650.191385725,163.646766999915,163.646766999915,472115492.571428,38583710.7730923,615637577.142857,38371129.8347241,23728128.0,1316399.12523302
8,08fe9a0d211adabedb72523646adaca5f9463fc9,,,,,98.6486486486486,98.6486486486486,404656128.0,471040.0,679178240.0,925696.0,24899584.0,106496.0
9,3c561784834c5886f819c70282bd7f63d0ec2bae,x,x,x,x,x,x,x,x,x,x,x,x
