,sha1sum,disk_read_avg,disk_read_std,disk_write_avg,disk_write_std,proc_avg,proc_std,mem_commit_avg,mem_commit_std,mem_available_avg,mem_available_std,mem_cache_avg,mem_cache_std
0,46ef567c548a46b24b04760ff7b0fde09f6e6220,1465761.54582443,3508241.99699082,455195.572467503,1032933.3386754,190.158717590772,190.158717590772,431509153.914529,13175063.7818502,1714762358.15384,12306435.8450597,31513853.8119658,1087485.13953079
1,cb7f9d296dc62f8b45ca7ca415847ecbaef133c7,484431.841823846,1143934.45487643,618508.478677046,680109.053295024,41.716497378768,41.716497378768,414644906.666666,2614773.03324288,1730985301.33333,2239064.34970641,29841408.0,410900.123287074
2,70c8bc42ac17e3b67fe8c425406a862583e92e7d,661042.392237652,714922.13268162,1872054.25131707,1210151.53174926,168.066249765456,168.066249765456,432515891.2,8820354.02807969,1715806208.0,6399819.83900021,30844518.4,714472.501913852
3,399ec1e69c8a46de30947f181a047f6e8773e26a,1399045.51983339,2715606.03362949,411180.551967115,1253651.28491999,192.155139960936,192.155139960936,431485374.836363,11774255.607436,1714290799.70909,10929553.753499,31395653.8181818,933676.053084192
4,eccbb063f935a696eac6eebb1b312c1b8d25afe0,x,x,x,x,x,x,x,x,x,x,x,x
5,80ee2ce330e4f0d552c405bc8ae6469643eeabd5,443411.622865201,292585.39361153,1009706.71344267,343697.883578015,163.802083333333,163.802083333333,411398826.666666,2941396.14720236,1734350848.0,2853900.79844038,29151914.6666666,82104.6807164826
6,c473ac554656879ad2c993583472bceeb53810e1,1199094.23102789,2708746.24429987,340712.666154978,795608.600054364,190.510618667081,190.510618667081,428132811.034482,12552132.7088024,1717978359.17241,12255984.0496675,31381892.4137931,1253326.26202089
7,254d6cf2e1fc23ff6e6df63760274b96878577fe,637291.432237745,1011872.32546326,1073051.66477103,665743.904255048,151.785714285714,151.785714285714,413026596.571428,2119712.20482288,1733313682.28571,2164928.4622415,29449069.7142857,247830.624030499
8,08fe9a0d211adabedb72523646adaca5f9463fc9,1421314.26396971,4252674.53447504,502430.699692564,1743455.80883224,187.677636142153,187.677636142153,480225939.525423,35417506.4790072,1664830203.66101,30669097.9988031,32254715.6610169,1038038.40056183
9,3c561784834c5886f819c70282bd7f63d0ec2bae,0.0,0.0,38379.5488064153,0.0,126.041666666666,126.041666666666,408203264.0,3475011.25262753,1735815168.0,2813211.60176952,29582677.3333333,61333.7154770703
10,6c52b723eb4e8f4bbf9b6f471fbcdf89298f0346,1435584.04109914,4329572.67723817,408465.248404935,1035334.93857389,191.596638655462,191.596638655462,424484588.638655,11835693.0384051,1718914762.21848,12342983.65355,31822133.7815126,1144270.2142606
11,b1b0b6cc9acc13431105e3fd200ccf8abb8241b8,,,,,96.875,96.875,410048512.0,2672640.0,1734057984.0,1384448.0,29503488.0,245760.0
12,97b90705272af3e9ed71c2e8f8fc7c5e30e3ee4f,1491163.42123639,4607865.34579297,450460.406690061,1139393.14128265,191.056436567164,191.056436567164,430273900.474576,11756269.3559263,1714525062.50847,12204264.401095,31623098.5762711,1253170.1772562
13,400c3fccf09d91a5fde4985d7b52b56581b7fadc,1461303.65788962,3990028.67248756,462250.350413938,1031450.54281305,176.717307885555,176.717307885555,464425793.084745,13516714.9931045,1689584240.81355,12411175.2034497,31691133.8305084,1086677.00066836
14,a44e255e0bf5439137d28949b06d5bb2a1663fd9,x,x,x,x,x,x,x,x,x,x,x,x
15,f70df24cd5f9e93b141dd9f65602231e69c3548c,1487291.20588753,4345316.16256169,476689.829340213,1008285.74626744,177.434442911047,177.434442911047,427796738.15126,12893272.5492199,1718099348.43697,12982487.4977161,31617609.1428571,1474150.37042048
16,dd0a7bbc21a538d4a1f4a2273587b62bb165d5b3,630313.74047045,3221984.54169255,285436.154710468,556129.303668615,195.172966401414,195.172966401414,420266690.206896,5011196.45745954,1725284681.56321,5187301.00185582,31490660.045977,1125255.4538557
17,ff4b187a5929458293fb5625f17f809825079e3d,1351689.12928872,3497312.87812777,376536.961674917,894805.068038434,191.162805232746,191.162805232746,472900581.286956,17343567.0238491,1673434975.72173,16399506.2380912,32163145.4608695,1062404.77334474
18,696026c951524c5c3922bd9e0569a26910343958,464226.995982401,343148.225749491,1004408.74289017,697021.046186344,108.703358208955,108.703358208955,423800832.0,1600866.46260429,1721534873.6,1108930.55829796,29031628.8,6553.6
19,e3f7a157cf0ee6b70375c92f0c83da03d708e8ef,3109452.27062471,12042306.976945,3280918.07748573,8598275.74143038,131.891235116644,131.891235116644,2470824381.21739,922943449.18008,850498889.460869,534287584.158516,24149837.9130434,7164514.2734508
20,82535b93cd7916603bd81618448f2e9568e0e9fa,1437555.89237753,4847625.44223455,403543.984951066,1023719.38288756,191.360294117647,191.360294117647,441184393.680672,11355583.3660138,1713755385.54621,12498218.3283928,31946184.0672268,1270539.07036505
21,39c5f00eb93e95a6523f856f11779f6213a37807,839029.746852724,2467345.26126148,306370.026232565,528363.740836157,157.103890323955,157.103890323955,426430670.521008,10264841.9198066,1719183755.83193,10468951.534155,31589487.8655462,1371224.0095318
22,6132a782d9f90a5aa762a5af746a96e317b6f92d,2711678.40120195,2527142.05047546,1717558.78369228,505232.957302977,121.999198717948,121.999198717948,434345984.0,35226992.1957444,1715578880.0,23223196.4925187,30369109.3333333,202087.782941528
23,4fd1ef332ab0679c59f91d67aacd4aa28ae533e5,1456702.47253591,4516275.71530762,395184.022342166,1126549.14892706,189.7469540788,189.7469540788,425955716.413793,11138906.5352151,1718791697.65517,11735457.9259864,31804310.0689655,1118322.53755647
24,ec889afddfc690027b3bd4b7fd28961722f6efc3,2661622.25373011,9284533.13859946,2010303.45920522,2016385.78140188,167.35265993071,167.35265993071,735828601.018181,210726591.83263,1536207369.30909,142157685.443418,27828931.490909,1958518.88015342
25,7c8af104af8b55754cb87a593a6a385eaed7d3e6,546234.118961121,1026672.03247852,807270.49468649,599635.775431091,144.591346153846,144.591346153846,412867032.615384,5776819.56884179,1734404568.61538,2748123.46460336,29704822.1538461,242119.343961369
26,0699a9f77eb8cfe8531d378a4160154919e1247e,869890.675309861,0.0,422401.299076301,0.0,86.9791666666666,86.9791666666666,413696000.0,1740746.99213412,1728712704.0,1324573.19179273,30766421.3333333,61333.7154770703
27,7dd47347bec05705da48ec47b4f2a1d46207bced,256799.298861503,292662.643998227,942133.758472425,601689.977799781,176.278409090909,176.278409090909,419327255.272727,8141937.4222567,1728814731.63636,6149344.68173688,30386734.5454545,284371.259180786
28,7cc8f6fa6aa415d042548e938e4a25c6252e3e21,862324.51844763,2459301.84219007,357139.895251624,614623.299302264,158.220903898019,158.220903898019,427198032.842105,9946991.54535022,1719124830.31578,10203046.1313916,31128306.5263157,1220183.92013321
29,76b8bc7a569a85372be7cde7b0c840620ab04d2d,x,x,x,x,x,x,x,x,x,x,x,x
30,a2a26b32e6d01ea80eb09e56460fd9ea76625e09,314124.308632185,352708.031375392,954625.58283338,699324.755390947,142.421016483516,142.421016483516,408659456.0,2138848.42490158,1735812096.0,2245696.90375883,29844480.0,263363.164987057
31,47afc02a9db28cdf6d193a308e5830fb08254f72,,,,,100.0,100.0,407091200.0,1542144.0,1736525824.0,1673216.0,29591552.0,71680.0
32,ea2b22facafb52f55206673781f16e061a34acde,827188.544785902,2385932.20437712,342432.478946308,569596.042905704,158.885234260537,158.885234260537,425828007.798319,9564606.99594603,1719407177.14285,9792938.08119738,31422205.8487394,1258530.4107249
33,51c6960e2f24c2d8aa613704218afe477eea2ce9,1483933.58924326,4396336.03396463,437965.926674479,1134511.45991188,189.837374581939,189.837374581939,425948346.991304,10652633.3063593,1718858725.28695,11580450.3827159,31565913.0434782,1191110.74304708
34,2c386a80c218d77f2b4f2456cdfc2985000a8ecf,1479284.46600741,4416261.35418205,462400.755578326,1155478.25980788,180.977567007601,180.977567007601,427432838.508474,12010361.7235901,1717619798.77966,12723795.1105743,31600292.8813559,1361399.67428581
35,a3d978b98c4ab4151b40cb8ff0dd11f6b66e1280,1566620.48928861,3661653.4280514,393449.396681189,945780.024704673,186.678772141255,186.678772141255,600492014.191304,129921833.590892,1548426195.47826,122257763.045839,31555085.3565217,1013678.22389524
36,3723f62536484b4d107f31a2b43f6f4f9d63ae2b,1564172.61227493,4460625.39637845,527730.932720633,1760533.43724959,188.064600840336,188.064600840336,478643483.966386,23864040.5117031,1666360810.48739,22176076.792754,32203440.4033613,1448411.42116981
37,cb1489baf62c09f56592a3d6dc2234000cef4bfd,736282.019231714,3685565.01538619,300869.821260341,602100.933618473,193.593855204643,193.593855204643,424580661.492537,3642458.51353171,1721762158.80597,3469763.16880964,31250034.6268656,983243.265834422
