,sha1sum,disk_read_avg,disk_read_std,disk_write_avg,disk_write_std,proc_avg,proc_std,mem_commit_avg,mem_commit_std,mem_available_avg,mem_available_std,mem_cache_avg,mem_cache_std
0,46ef567c548a46b24b04760ff7b0fde09f6e6220,499458.838838933,1833511.15400462,284285.489981312,866337.629030333,395.412531197221,395.412531197221,550507398.508474,87534681.149544,1606869096.13559,85916395.1614812,22419456.0,1796985.38511714
1,cb7f9d296dc62f8b45ca7ca415847ecbaef133c7,491088.784556596,1937705.08848357,292189.075448276,873460.467815593,23.4029771232098,23.4029771232098,658755584.0,11672868.158393,1499179008.0,6532004.16201312,20782284.8,500379.001410091
2,70c8bc42ac17e3b67fe8c425406a862583e92e7d,84885.1372791152,146117.379706059,439147.877809485,685896.594826547,351.050585354576,351.050585354576,659324555.636363,7406592.6405901,1497439883.63636,5496116.20903937,22325806.5454545,343892.28300532
3,399ec1e69c8a46de30947f181a047f6e8773e26a,461962.162983084,1979806.43055735,270049.331368183,869203.294813929,396.390371495744,396.390371495744,549096187.661017,86312144.5929965,1607002250.84745,85660938.4302425,22337501.2881355,1706381.82706834
4,eccbb063f935a696eac6eebb1b312c1b8d25afe0,280776.610725556,588508.864336458,425285.046677041,592189.782472381,340.411839424716,340.411839424716,651437943.466666,3654993.67136163,1503056964.26666,3147154.33145224,20752793.6,372337.589857519
5,80ee2ce330e4f0d552c405bc8ae6469643eeabd5,449566.593919753,235397.081860583,103020.663406682,36896.6829149919,293.847525145538,293.847525145538,651722752.0,1745619.38057069,1501264896.0,1125406.74753264,21097472.0,597639.772063406
6,c473ac554656879ad2c993583472bceeb53810e1,520416.880943494,2210321.62317649,326144.59424499,861153.691219374,384.829927751399,384.829927751399,551211598.101695,87137319.9362169,1606820325.9661,86670603.8853013,22130375.5932203,1708420.37551293
7,254d6cf2e1fc23ff6e6df63760274b96878577fe,280177.118395585,588667.822853063,427341.778191215,620753.617650163,345.77083833733,345.77083833733,652980480.0,4680863.4932354,1501123584.0,4525822.95016674,20568064.0,487109.814707115
8,08fe9a0d211adabedb72523646adaca5f9463fc9,,,,,200.00092702005,200.00092702005,645384192.0,6144.0,1507491840.0,233472.0,20637696.0,6144.0
9,3c561784834c5886f819c70282bd7f63d0ec2bae,98967.9880708257,66653.4196322423,51250.8869694326,20451.0639264077,291.924430015804,291.924430015804,650286080.0,4755142.32901771,1502998528.0,4014483.31035115,21021696.0,614948.448545079
10,6c52b723eb4e8f4bbf9b6f471fbcdf89298f0346,457041.992583789,1579652.35285494,276079.949487101,855870.62987039,396.174482495968,396.174482495968,545174718.915254,86096110.3852864,1609561660.74576,85691689.9862494,22338126.1016949,1765760.40818784
11,b1b0b6cc9acc13431105e3fd200ccf8abb8241b8,107030.481954678,107030.481954678,76486.5011942836,46699.5252063845,298.462931722653,298.462931722653,648722432.0,2209013.66088668,1505343488.0,1660000.964472,20523008.0,588375.10930358
12,97b90705272af3e9ed71c2e8f8fc7c5e30e3ee4f,463696.96103762,1930986.53069553,258953.541545734,848603.594491575,396.246955062198,396.246955062198,548286845.830508,86576576.9868474,1609407262.37288,85877107.1799031,22381238.2372881,1716749.59343194
13,400c3fccf09d91a5fde4985d7b52b56581b7fadc,514617.457488495,1973344.30403766,307380.47198795,867406.154907289,387.792861893917,387.792861893917,600141164.474576,86029332.2037758,1572972752.27118,85435458.3706165,23027746.7118644,1894448.08907619
14,a44e255e0bf5439137d28949b06d5bb2a1663fd9,543061.399861399,2022826.12363406,325116.081661248,912151.529157417,394.186971484151,394.186971484151,602810020.881355,85061863.1106779,1561435847.59322,83997823.0189801,23360425.2203389,1753949.04918615
15,f70df24cd5f9e93b141dd9f65602231e69c3548c,531285.087800525,1905940.61583883,322938.171007151,874138.229415332,389.097447445809,389.097447445809,563158549.880341,86405060.9421,1598809184.2735,84590258.7902986,23199708.9914529,1891241.13734417
16,dd0a7bbc21a538d4a1f4a2273587b62bb165d5b3,,,,,0.0,0.0,659582976.0,0.0,1499176960.0,0.0,21393408.0,0.0
17,ff4b187a5929458293fb5625f17f809825079e3d,530154.094610647,1882498.64590221,301128.242728237,884091.4976805,394.304312077763,394.304312077763,605851752.135593,85289203.8032374,1557198605.01694,83955131.0743417,23492295.5932203,1783381.97411542
18,696026c951524c5c3922bd9e0569a26910343958,41404.2956754447,62732.5439097778,208285.688055272,75534.6870407667,259.48838223627,259.48838223627,663805952.0,2088937.2443205,1495738368.0,1335959.13186194,21493077.3333333,496803.132886883
19,e3f7a157cf0ee6b70375c92f0c83da03d708e8ef,652199.382871736,2186779.85575054,1130911.47355804,4062750.62491856,370.806174738178,370.806174738178,1597195107.79661,430323144.895097,896428552.677966,452155011.252465,15480797.2881355,10088785.6809738
20,82535b93cd7916603bd81618448f2e9568e0e9fa,474742.952095231,1648075.48064018,296107.246444079,868363.586413738,395.386981195465,395.386981195465,582516319.457627,86980509.204866,1594550757.9661,86467668.9702284,22909101.559322,1799011.69748507
21,39c5f00eb93e95a6523f856f11779f6213a37807,535259.722161408,2092524.60592889,327070.266650929,857220.523212438,384.851856161784,384.851856161784,564418560.0,86563736.477505,1598680671.45762,85592007.2368093,22891190.2372881,1686312.45379685
22,6132a782d9f90a5aa762a5af746a96e317b6f92d,,,,,200.00092702005,200.00092702005,659912704.0,1234944.0,1501370368.0,1193984.0,21366784.0,10240.0
23,4fd1ef332ab0679c59f91d67aacd4aa28ae533e5,,,,,123.0774935508,123.0774935508,663379968.0,327680.0,1494855680.0,151552.0,21897216.0,540672.0
